***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for ALUMINUMOXIDE (ICRU #106)
* given in keV/µm!
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.keV.um
6 1.22E-01 1.97E+03
6 1.27E-01 2.00E+03
6 1.33E-01 2.03E+03
6 1.38E-01 2.05E+03
6 1.44E-01 2.08E+03
6 1.50E-01 2.10E+03
6 1.56E-01 2.12E+03
6 1.63E-01 2.15E+03
6 1.70E-01 2.17E+03
6 1.77E-01 2.18E+03
6 1.84E-01 2.20E+03
6 1.92E-01 2.22E+03
6 2.00E-01 2.23E+03
6 2.08E-01 2.24E+03
6 2.17E-01 2.25E+03
6 2.26E-01 2.26E+03
6 2.36E-01 2.27E+03
6 2.45E-01 2.27E+03
6 2.56E-01 2.28E+03
6 2.66E-01 2.28E+03
6 2.78E-01 2.28E+03
6 2.89E-01 2.28E+03
6 3.01E-01 2.27E+03
6 3.14E-01 2.27E+03
6 3.27E-01 2.26E+03
6 3.41E-01 2.25E+03
6 3.55E-01 2.24E+03
6 3.70E-01 2.24E+03
6 3.85E-01 2.23E+03
6 4.02E-01 2.21E+03
6 4.18E-01 2.20E+03
6 4.36E-01 2.19E+03
6 4.54E-01 2.18E+03
6 4.73E-01 2.17E+03
6 4.93E-01 2.15E+03
6 5.14E-01 2.14E+03
6 5.35E-01 2.13E+03
6 5.58E-01 2.11E+03
6 5.81E-01 2.10E+03
6 6.06E-01 2.09E+03
6 6.31E-01 2.07E+03
6 6.57E-01 2.06E+03
6 6.85E-01 2.04E+03
6 7.14E-01 2.03E+03
6 7.43E-01 2.01E+03
6 7.75E-01 1.99E+03
6 8.07E-01 1.97E+03
6 8.41E-01 1.95E+03
6 8.76E-01 1.93E+03
6 9.13E-01 1.91E+03
6 9.51E-01 1.89E+03
6 9.91E-01 1.87E+03
6 1.03E+00 1.85E+03
6 1.08E+00 1.82E+03
6 1.12E+00 1.80E+03
6 1.17E+00 1.77E+03
6 1.22E+00 1.75E+03
6 1.27E+00 1.72E+03
6 1.32E+00 1.69E+03
6 1.38E+00 1.67E+03
6 1.43E+00 1.64E+03
6 1.49E+00 1.61E+03
6 1.56E+00 1.59E+03
6 1.62E+00 1.56E+03
