***********************************
* dE/dx data from Fluka 2011.2b-3
* for PROTON (Z=1), 4-HELIUM (Z=2)
* and HEAVYION (Z>=3)
* for WATER, but with customized
* I-value (76.8 eV)
*
* SG, 2015-01-15
***********************************
Z E.MeV.u dE.dx.MeV.cm2.g
2 4.74E-01 1.68E+02
2 4.93E-01 1.64E+02
2 5.14E-01 1.60E+02
2 5.36E-01 1.56E+02
2 5.58E-01 1.52E+02
2 5.81E-01 1.48E+02
2 6.06E-01 1.44E+02
2 6.31E-01 1.41E+02
2 6.58E-01 1.37E+02
2 6.85E-01 1.33E+02
2 7.14E-01 1.30E+02
2 7.44E-01 1.26E+02
2 7.75E-01 1.23E+02
2 8.07E-01 1.20E+02
2 8.41E-01 1.16E+02
2 8.76E-01 1.13E+02
2 9.13E-01 1.10E+02
2 9.51E-01 1.07E+02
2 9.91E-01 1.04E+02
2 1.03E+00 1.01E+02
2 1.08E+00 9.81E+01
2 1.12E+00 9.54E+01
2 1.17E+00 9.26E+01
2 1.22E+00 9.00E+01
2 1.27E+00 8.74E+01
2 1.32E+00 8.48E+01
2 1.38E+00 8.24E+01
2 1.43E+00 7.99E+01
2 1.49E+00 7.76E+01
2 1.56E+00 7.53E+01
2 1.62E+00 7.31E+01
2 1.69E+00 7.09E+01
2 1.76E+00 6.88E+01
2 1.83E+00 6.67E+01
2 1.91E+00 6.47E+01
2 1.99E+00 6.28E+01
2 2.07E+00 6.09E+01
2 2.16E+00 5.90E+01
2 2.25E+00 5.72E+01
2 2.35E+00 5.55E+01
2 2.44E+00 5.38E+01
2 2.55E+00 5.22E+01
2 2.65E+00 5.06E+01
2 2.77E+00 4.91E+01
2 2.88E+00 4.76E+01
2 3.00E+00 4.62E+01
2 3.13E+00 4.48E+01
2 3.26E+00 4.35E+01
2 3.39E+00 4.21E+01
2 3.54E+00 4.09E+01
2 3.68E+00 3.96E+01
2 3.84E+00 3.84E+01
2 4.00E+00 3.72E+01
2 4.17E+00 3.61E+01
2 4.34E+00 3.49E+01
2 4.52E+00 3.39E+01
2 4.71E+00 3.28E+01
2 4.91E+00 3.18E+01
2 5.11E+00 3.08E+01
2 5.33E+00 2.98E+01
2 5.55E+00 2.89E+01
2 5.78E+00 2.80E+01
2 6.02E+00 2.71E+01
2 6.27E+00 2.62E+01
2 6.54E+00 2.54E+01
2 6.81E+00 2.46E+01
2 7.09E+00 2.38E+01
2 7.39E+00 2.30E+01
2 7.70E+00 2.23E+01
2 8.02E+00 2.16E+01
2 8.35E+00 2.09E+01
2 8.70E+00 2.02E+01
2 9.06E+00 1.96E+01
2 9.44E+00 1.89E+01
2 9.84E+00 1.83E+01
2 1.02E+01 1.77E+01
2 1.07E+01 1.72E+01
2 1.11E+01 1.66E+01
2 1.16E+01 1.61E+01
2 1.21E+01 1.55E+01
2 1.26E+01 1.50E+01
2 1.31E+01 1.46E+01
2 1.36E+01 1.41E+01
2 1.42E+01 1.36E+01
2 1.48E+01 1.32E+01
2 1.54E+01 1.28E+01
2 1.60E+01 1.23E+01
2 1.67E+01 1.19E+01
2 1.74E+01 1.16E+01
2 1.81E+01 1.12E+01
2 1.89E+01 1.08E+01
2 1.97E+01 1.05E+01
2 2.05E+01 1.01E+01
2 2.13E+01 9.79E+00
2 2.22E+01 9.48E+00
2 2.31E+01 9.17E+00
2 2.41E+01 8.87E+00
2 2.51E+01 8.59E+00
2 2.61E+01 8.31E+00
2 2.72E+01 8.04E+00
2 2.83E+01 7.78E+00
2 2.95E+01 7.53E+00
2 3.07E+01 7.29E+00
2 3.20E+01 7.06E+00
2 3.33E+01 6.83E+00
2 3.47E+01 6.61E+00
2 3.61E+01 6.40E+00
2 3.76E+01 6.20E+00
2 3.91E+01 6.00E+00
2 4.07E+01 5.81E+00
2 4.24E+01 5.63E+00
2 4.41E+01 5.45E+00
2 4.60E+01 5.28E+00
2 4.78E+01 5.12E+00
2 4.98E+01 4.96E+00
2 5.18E+01 4.80E+00
2 5.39E+01 4.65E+00
2 5.61E+01 4.51E+00
2 5.84E+01 4.37E+00
2 6.08E+01 4.23E+00
2 6.32E+01 4.11E+00
2 6.58E+01 3.98E+00
2 6.85E+01 3.86E+00
2 7.12E+01 3.74E+00
2 7.41E+01 3.63E+00
2 7.71E+01 3.52E+00
2 8.02E+01 3.41E+00
2 8.34E+01 3.31E+00
2 8.68E+01 3.22E+00
2 9.03E+01 3.12E+00
2 9.39E+01 3.03E+00
2 9.76E+01 2.94E+00
2 1.01E+02 2.86E+00
2 1.06E+02 2.78E+00
2 1.10E+02 2.70E+00
2 1.14E+02 2.62E+00
2 1.19E+02 2.55E+00
2 1.23E+02 2.48E+00
2 1.28E+02 2.41E+00
2 1.33E+02 2.35E+00
2 1.38E+02 2.29E+00
2 1.44E+02 2.23E+00
2 1.49E+02 2.17E+00
2 1.55E+02 2.11E+00
2 1.61E+02 2.06E+00
2 1.67E+02 2.00E+00
2 1.74E+02 1.95E+00
2 1.81E+02 1.91E+00
2 1.88E+02 1.86E+00
2 1.95E+02 1.81E+00
